# id	description
ls	List directory contents
ls-a	List all entries including hidden files
ls-l	List in long format with details
ls-la	List all files in long format
ls-lh	List in human-readable long format
ls-r	List in reverse order
ls-s	List sorted by file size
ls-t	List sorted by modification time
ls-r-2	List in reverse order
ls-1	List one entry per line
ls-d	List directory names, not their contents
ls-i	List with inode numbers
ls-f	Append indicator to entries
ls-la-color	List all with colorized output
ls-lhs	List human-readable sorted by size
ls-latr	List all sorted by time reversed
ls-la-group-directories-first	List all with directories first
ls-la-sortextension	List all sorted by file extension
cat	Concatenate and display files
tac	Concatenate and display files in reverse
rm	Remove files or directories
rm-rf	Forcefully remove files recursively
rm-i	Prompt before every removal
rmdir	Remove empty directories
mv	Move or rename files
mv-i	Prompt before overwrite
mv-u	Move only when source is newer
mv-b	Make backup before moving
cp	Copy files and directories
cp-r	Copy directories recursively
cp-a	Archive copy preserving attributes
cp-i	Prompt before overwrite
cp-u	Copy only when source is newer
cp-p	Preserve file attributes
cp-l	Create hard links instead of copying
cp-s	Create symbolic links instead of copying
cp-preserveall	Preserve all attributes
mkdir	Create directories
mkdir-p	Create parent directories as needed
mkdir-v	Print created directories
mkdir-m	Set permissions on creation
touch	Create empty files or update timestamps
touch-t	Set specific timestamp
touch-r	Use reference file's timestamp
find	Search for files in a directory hierarchy
find-name	Find files by name pattern
find-iname	Find files by name ignoring case
find-type	Find files by type
find-size	Find files by size
find-mtime	Find files by modification time
find-mmin	Find files modified N minutes ago
find-exec	Execute command on found files
find-ok	Execute with confirmation
find-delete	Delete found files
find-maxdepth	Limit search depth
find-mindepth	Set minimum search depth
find-newer	Find files newer than reference
find-perm	Find files by permissions
find-user	Find files by owner
find-group	Find files by group
find-print0	Print filenames null-separated
find-l	Follow symbolic links
ln	Create hard links
ln-s	Create symbolic links
ln-sf	Force create or update symlink
ln-v	Print linked file names
tar	Archive files
tar-czf	Create a gzip-compressed archive
tar-xzf	Extract a gzip-compressed archive
tar-tjf	List contents of bzip2 archive
tar-xjf	Extract an xz-compressed archive
tar-xjf-2	Extract an xz-compressed archive
tar-xf	Extract any compressed archive
tar-rf	Append files to archive
tar-uf	Update files in archive
tar-tvf	List archive contents verbosely
tar-exclude	Exclude files from archive
