# id	description
ls	Listaa hakemiston sisältö
ls-a	Listaa kaikki merkinnät, myös piilotiedostot
ls-l	Listaa pitkässä muodossa yksityiskohtineen
ls-la	Listaa kaikki tiedostot pitkässä muodossa
ls-lh	Listaa helppolukuisessa pitkässä muodossa
ls-r	Listaa käänteisessä järjestyksessä
ls-s	Listaa lajiteltuna tiedostokoon mukaan
ls-t	Listaa lajiteltuna muokkausajan mukaan
ls-r-2	Listaa käänteisessä järjestyksessä
ls-1	Listaa yksi merkintä rivillä
ls-d	Listaa hakemistojen nimet, ei sisältöä
ls-i	Listaa inode-numeroineen
ls-f	Lisää tunniste merkintöihin
ls-la-color	Listaa kaikki värillisellä tulosteella
ls-lhs	Listaa helppolukuisena lajiteltuna koon mukaan
ls-latr	Listaa kaikki lajiteltuna ajan mukaan käänteisesti
ls-la-group-directories-first	Listaa kaikki, hakemistot ensin
ls-la-sortextension	Listaa kaikki lajiteltuna tiedostopäätteen mukaan
cat	Yhdistä ja näytä tiedostot
tac	Yhdistä ja näytä tiedostot käänteisesti
rm	Poista tiedostoja tai hakemistoja
rm-rf	Poista tiedostot väkisin rekursiivisesti
rm-i	Kysy ennen jokaista poistoa
rmdir	Poista tyhjiä hakemistoja
mv	Siirrä tai nimeä tiedostoja uudelleen
mv-i	Kysy ennen ylikirjoitusta
mv-u	Siirrä vain kun lähde on uudempi
mv-b	Tee varmuuskopio ennen siirtoa
cp	Kopioi tiedostoja ja hakemistoja
cp-r	Kopioi hakemistot rekursiivisesti
cp-a	Arkistokopio säilyttäen ominaisuudet
cp-i	Kysy ennen ylikirjoitusta
cp-u	Kopioi vain kun lähde on uudempi
cp-p	Säilytä tiedoston ominaisuudet
cp-l	Luo kova linkkejä kopioinnin sijaan
cp-s	Luo symbolisia linkkejä kopioinnin sijaan
cp-preserveall	Säilytä kaikki ominaisuudet
mkdir	Luo hakemistoja
mkdir-p	Luo ylähakemistot tarvittaessa
mkdir-v	Tulosta luodut hakemistot
mkdir-m	Aseta oikeudet luotaessa
touch	Luo tyhjiä tiedostoja tai päivitä aikaleimoja
touch-t	Aseta tietty aikaleima
touch-r	Käytä viitetiedoston aikaleimaa
find	Etsi tiedostoja hakemistopuusta
find-name	Etsi tiedostoja nimimallin mukaan
find-iname	Etsi tiedostoja nimellä välittämättä koosta
find-type	Etsi tiedostoja tyypin mukaan
find-size	Etsi tiedostoja koon mukaan
find-mtime	Etsi tiedostoja muokkausajan mukaan
find-mmin	Etsi tiedostoja muokattu N minuuttia sitten
find-exec	Suorita komento löydetyille tiedostoille
find-ok	Suorita vahvistuksella
find-delete	Poista löydetyt tiedostot
find-maxdepth	Rajoita hakusyvyyttä
find-mindepth	Aseta vähimmäishakusyvyys
find-newer	Etsi tiedostoja uudempia kuin viite
find-perm	Etsi tiedostoja oikeuksien mukaan
find-user	Etsi tiedostoja omistajan mukaan
find-group	Etsi tiedostoja ryhmän mukaan
find-print0	Tulosta tiedostonimet nollalla erotettuina
find-l	Seuraa symbolisia linkkejä
ln	Luo kovia linkkejä
ln-s	Luo symbolisia linkkejä
ln-sf	Pakota luonti tai päivitä symbolinen linkki
ln-v	Tulosta linkattujen tiedostojen nimet
tar	Arkistoi tiedostoja
tar-czf	Luo gzip-pakattu arkisto
tar-xzf	Pura gzip-pakattu arkisto
tar-tjf	Listaa bzip2-arkiston sisältö
tar-xjf	Pura xz-pakattu arkisto
tar-xjf-2	Pura xz-pakattu arkisto
tar-xf	Pura mikä tahansa pakattu arkisto
tar-rf	Lisää tiedostoja arkistoon
tar-uf	Päivitä tiedostoja arkistossa
tar-tvf	Listaa arkiston sisältö yksityiskohtaisesti
tar-exclude	Ohita tiedostoja arkistosta
gzip	Pakkaa tiedostoja gzipillä
gzip-k	Säilytä alkuperäinen tiedosto pakattaessa
gzip-d	Pura gzip-tiedostot
gunzip	Pura gzip-tiedostot
gunzip-k	Säilytä alkuperäinen purettaessa
bzip2	Pakkaa tiedostoja bzip2:lla
bunzip2	Pura bzip2-tiedostot
bzip2-k	Säilytä alkuperäinen pakattaessa
xz	Pakkaa tiedostoja xz:llä
unxz	Pura xz-tiedostot
zip	Paketoi ja pakkaa tiedostoja
zip-r	Pakkaa hakemisto rekursiivisesti
zip-q	Hiljainen pakkaus
zip-d	Poista merkintöjä arkistosta
unzip	Pura zip-arkistot
unzip-l	Listaa zip-arkiston sisältö
unzip-o	Ylikirjoita tiedostot kysymättä
unzip-d	Pura tiettyyn hakemistoon
rsync	Etätiedostojen synkronointi
rsync-a	Arkistotila rsyncille
rsync-v	Yksityiskohtainen rsync
rsync-z	Pakkaa siirron aikana
rsync-p	Näytä edistyminen ja säilytä osittainen
rsync-delete	Poista ylimääräiset tiedostot kohteesta
rsync-e-ssh	Käytä SSH:ta rsync-siirrossa
dd	Muunna ja kopioi tiedosto
dd-if	Lue määritetystä syötetiedostosta
dd-of	Kirjoita määritettyyn tulostetiedostoon
dd-bs	Aseta lohkokoko
dd-count	Kopioi vain N lohkoa
dd-statusprogress	Näytä edistyminen kopioinnin aikana
stat	Näytä tiedoston tai tiedostojärjestelmän tila
stat-c	Muotoile tuloste omalla muodolla
stat-f	Näytä tiedostojärjestelmän tila
file	Tunnista tiedostotyyppi
tree	Näytä hakemistopuu
tree-l	Rajoita puun syvyyttä
tree-d	Näytä vain hakemistot
tree-h	Helppolukuiset koot
tree-a	Sisällytä piilotiedostot
basename	Poista hakemisto ja pääte polkunnimestä
dirname	Poista viimeinen osa tiedostopolusta
realpath	Tulosta absoluuttinen polku
mktemp	Luo väliaikaistiedosto tai -hakemisto
mktemp-d	Luo väliaikaishakemisto
mktemp-p	Luo väliaikaistiedosto tiettyyn hakemistoon
install	Kopioi tiedostoja ja aseta ominaisuudet
install-d	Luo hakemistoja kuten mkdir -p
install-m	Aseta oikeudet asennuksen yhteydessä
patch	Käytä diff-tiedostoa alkuperäiseen
patch-p	Poista polun osia
patch-r	Käytä korjaustiedostoa käänteisesti
sync	Tyhjennä tiedostojärjestelmän puskurit
truncate	Pienennä tai suurenna tiedostokokoa
