# id	command	category	difficulty
ls	ls	file	1
ls-a	ls -a	file	3
ls-l	ls -l	file	3
ls-la	ls -la	file	4
ls-lh	ls -lh	file	5
ls-r	ls -R	file	6
ls-s	ls -S	file	7
ls-t	ls -t	file	7
ls-r-2	ls -r	file	8
ls-1	ls -1	file	5
ls-d	ls -d	file	6
ls-i	ls -i	file	7
ls-f	ls -F	file	6
ls-la-color	ls -la --color	file	5
ls-lhs	ls -lhS	file	8
ls-latr	ls -latr	file	8
ls-la-group-directories-first	ls -la --group-directories-first	file	9
ls-la-sortextension	ls -la --sort=extension	file	10
cat	cat	file	1
tac	tac	file	4
rm	rm	file	1
rm-rf	rm -rf	file	4
rm-i	rm -i	file	4
rmdir	rmdir	file	3
mv	mv	file	1
mv-i	mv -i	file	4
mv-u	mv -u	file	6
mv-b	mv -b	file	7
cp	cp	file	1
cp-r	cp -r	file	3
cp-a	cp -a	file	5
cp-i	cp -i	file	4
cp-u	cp -u	file	6
cp-p	cp -p	file	5
cp-l	cp -l	file	7
cp-s	cp -s	file	8
cp-preserveall	cp --preserve=all	file	7
mkdir	mkdir	file	1
mkdir-p	mkdir -p	file	3
mkdir-v	mkdir -v	file	5
mkdir-m	mkdir -m	file	6
touch	touch	file	1
touch-t	touch -t	file	5
touch-r	touch -r	file	6
find	find	file	3
find-name	find -name	file	4
find-iname	find -iname	file	5
find-type	find -type	file	5
find-size	find -size	file	6
find-mtime	find -mtime	file	6
find-mmin	find -mmin	file	7
find-exec	find -exec	file	7
find-ok	find -ok	file	10
find-delete	find -delete	file	8
find-maxdepth	find -maxdepth	file	6
find-mindepth	find -mindepth	file	7
find-newer	find -newer	file	9
find-perm	find -perm	file	9
find-user	find -user	file	9
find-group	find -group	file	10
find-print0	find -print0	file	8
find-l	find -L	file	10
ln	ln	file	4
ln-s	ln -s	file	4
ln-sf	ln -sf	file	5
ln-v	ln -v	file	7
tar	tar	file	4
tar-czf	tar -czf	file	5
tar-xzf	tar -xzf	file	5
tar-tjf	tar -tjf	file	9
tar-xjf	tar -xjf	file	8
tar-xjf-2	tar -xJf	file	9
tar-xf	tar -xf	file	5
tar-rf	tar -rf	file	8
tar-uf	tar -uf	file	9
tar-tvf	tar -tvf	file	7
tar-exclude	tar --exclude	file	9
gzip	gzip	file	4
gzip-k	gzip -k	file	6
gzip-d	gzip -d	file	5
gunzip	gunzip	file	4
gunzip-k	gunzip -k	file	7
bzip2	bzip2	file	5
bunzip2	bunzip2	file	5
bzip2-k	bzip2 -k	file	7
xz	xz	file	6
unxz	unxz	file	6
zip	zip	file	4
zip-r	zip -r	file	5
zip-q	zip -q	file	7
zip-d	zip -d	file	8
unzip	unzip	file	4
unzip-l	unzip -l	file	6
unzip-o	unzip -o	file	6
unzip-d	unzip -d	file	6
rsync	rsync	file	5
rsync-a	rsync -a	file	6
rsync-v	rsync -v	file	7
rsync-z	rsync -z	file	7
rsync-p	rsync -P	file	8
rsync-delete	rsync --delete	file	9
rsync-e-ssh	rsync -e ssh	file	9
dd	dd	sys	9
dd-if	dd if	sys	9
dd-of	dd of	sys	10
dd-bs	dd bs	sys	10
dd-count	dd count	sys	11
dd-statusprogress	dd status=progress	sys	10
stat	stat	file	4
stat-c	stat -c	file	7
stat-f	stat -f	file	8
file	file	file	2
tree	tree	file	3
tree-l	tree -L	file	5
tree-d	tree -d	file	6
tree-h	tree -h	file	7
tree-a	tree -a	file	5
basename	basename	text	3
dirname	dirname	text	3
realpath	realpath	text	3
mktemp	mktemp	file	4
mktemp-d	mktemp -d	file	5
mktemp-p	mktemp -p	file	7
install	install	file	6
install-d	install -d	file	7
install-m	install -m	file	8
patch	patch	text	7
patch-p	patch -p	text	9
patch-r	patch -R	text	10
sync	sync	sys	4
truncate	truncate	file	6
fallocate	fallocate	file	8
readlink	readlink	file	5
readlink-f	readlink -f	file	6
grep	grep	text	2
grep-r	grep -r	text	4
grep-i	grep -i	text	4
grep-v	grep -v	text	4
grep-c	grep -c	text	5
grep-n	grep -n	text	5
grep-l	grep -l	text	5
grep-w	grep -w	text	6
grep-x	grep -x	text	8
grep-o	grep -o	text	6
grep-a	grep -A	text	7
grep-b	grep -B	text	7
grep-c-2	grep -C	text	7
grep-e	grep -E	text	5
grep-p	grep -P	text	9
grep-q	grep -q	text	7
grep-s	grep -s	text	8
grep-color	grep --color	text	5
grep-m	grep -m	text	8
grep-f	grep -f	text	9
egrep	egrep	text	5
fgrep	fgrep	text	5
sed	sed	text	4
sed-i	sed -i	text	6
sed-n	sed -n	text	6
sed-s	sed s/	text	5
sed-e	sed -e	text	8
sed-f	sed -f	text	9
sed-r	sed -r	text	9
awk	awk	text	5
awk-f	awk -F	text	6
awk-print	awk '{print}'	text	6
awk-pattern	awk '/pattern/'	text	8
awk-v	awk -v	text	9
awk-begin	awk 'BEGIN'	text	10
awk-end	awk 'END'	text	10
cut	cut	text	3
cut-d	cut -d	text	5
cut-f	cut -f	text	5
cut-c	cut -c	text	5
cut-complement	cut --complement	text	9
sort	sort	text	2
sort-r	sort -r	text	4
sort-n	sort -n	text	4
sort-k	sort -k	text	6
sort-u	sort -u	text	5
sort-t	sort -t	text	7
sort-h	sort -h	text	7
sort-v	sort -V	text	8
uniq	uniq	text	3
uniq-c	uniq -c	text	5
uniq-d	uniq -d	text	6
uniq-u	uniq -u	text	7
uniq-i	uniq -i	text	7
wc	wc	text	2
wc-l	wc -l	text	4
wc-w	wc -w	text	4
wc-c	wc -c	text	5
wc-m	wc -m	text	6
head	head	text	2
head-n	head -n	text	4
head-c	head -c	text	6
head-q	head -q	text	8
tail	tail	text	2
tail-n	tail -n	text	4
tail-f	tail -f	text	5
tail-f-2	tail -F	text	7
tail-q	tail -q	text	8
tail-c	tail -c	text	7
diff	diff	text	4
diff-u	diff -u	text	5
diff-y	diff -y	text	7
diff-r	diff -r	text	6
diff-q	diff -q	text	7
diff-i	diff -i	text	8
diff-w	diff -w	text	8
diff-n	diff -N	text	9
diff-color	diff --color	text	7
sdiff	sdiff	text	8
cmp	cmp	text	4
cmp-l	cmp -l	text	7
comm	comm	text	5
comm-1	comm -1	text	8
comm-2	comm -2	text	8
comm-3	comm -3	text	8
tr	tr	text	3
tr-d	tr -d	text	5
tr-s	tr -s	text	5
tr-c	tr -c	text	7
tee	tee	text	3
tee-a	tee -a	text	6
tee-i	tee -i	text	8
fold	fold	text	4
fold-w	fold -w	text	6
fold-s	fold -s	text	7
expand	expand	text	4
expand-t	expand -t	text	6
unexpand	unexpand	text	5
unexpand-a	unexpand -a	text	7
nl	nl	text	4
nl-ba	nl -ba	text	7
nl-n	nl -n	text	8
od	od	text	8
od-a	od -A	text	10
od-t	od -t	text	10
hexdump	hexdump	text	8
hexdump-c	hexdump -C	text	9
hexdump-n	hexdump -n	text	10
xxd	xxd	text	8
xxd-r	xxd -r	text	9
xxd-p	xxd -p	text	9
rev	rev	text	4
