# id	command	category	difficulty
pipe	|	redir	3
redirect-out	>	redir	3
redirect-append	>>	redir	3
redirect-in	<	redir	3
redirect-err	2>	redir	4
redirect-err-append	2>>	redir	5
redirect-err-out	2>&1	redir	4
redirect-both-bash	>&	redir	5
redirect-both	&>	redir	5
redirect-both-append	&>>	redir	6
redirect-out-err	1>&2	redir	6
redirect-readwrite	<>	redir	8
heredoc	<<	redir	6
herestring	<<<	redir	7
redirect-clobber	>|	redir	9
cmdsub-dollar	$(...)	redir	4
cmdsub-backtick	`...`	redir	5
arith-expand	$((...))	redir	6
var-home	$HOME	redir	3
param-expand	${...}	redir	5
param-default	${var:-default}	redir	8
param-assign	${var:=default}	redir	9
param-alt	${var:+alt}	redir	10
param-error	${var:?msg}	redir	10
param-substr	${var:offset}	redir	9
param-length	${#var}	redir	8
param-replace	${var/pattern/replacement}	redir	10
semicolon	;	redir	2
and	&&	redir	3
or	||	redir	3
background	&	redir	4
not-hist	!	redir	6
rerun-last	!!	redir	6
last-arg	!$	redir	7
all-args	!*	redir	9
rerun-nth	!n	redir	8
rerun-str	!string	redir	8
home-dir	~	redir	2
home-user	~user	redir	5
glob-any	*	redir	3
glob-char	?	redir	5
glob-class	[...]	redir	6
brace-expand	{...}	redir	7
brace-comma	{a,b,c}	redir	7
brace-range	{1..5}	redir	6
subshell	(...)	redir	7
cmd-group	{ ... }	redir	7
arith-eval	((...))	redir	7
ext-test	[[...]]	redir	6
test-bracket	[ ... ]	redir	5
